Country Name,Investment Freedom ,Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,GDP per Capita (PPP)
Afghanistan,10.0,20.0,20.0,5.0,25.6,"$1,958"
Albania,70.0,23.0,15.0,24.9,29.5,"$12,507"
Algeria,30.0,35.0,23.0,24.5,41.4,"$15,237"
Angola,30.0,17.0,30.0,20.6,25.3,"$6,753"
Argentina,55.0,35.0,30.0,30.8,41.0,"$20,876"
Armenia,75.0,26.0,20.0,21.3,26.4,"$9,456"
Australia,80.0,45.0,30.0,28.2,36.5,"$50,334"
Austria,90.0,50.0,25.0,42.7,50.2,"$49,869"
Azerbaijan,60.0,25.0,20.0,15.0,36.7,"$17,492"
Bahamas,50.0,0.0,0.0,16.3,21.0,"$31,139"
Bahrain,75.0,0.0,0.0,5.6,35.3,"$48,505"
Bangladesh,45.0,25.0,45.0,8.8,13.6,"$4,211"
Barbados,70.0,35.0,25.0,33.7,34.1,"$18,664"
Belarus,30.0,13.0,18.0,23.8,44.2,"$18,931"
Belgium,85.0,50.0,29.0,44.2,53.2,"$46,553"
Belize,55.0,25.0,25.0,27.6,33.7,"$8,324"
Benin,70.0,45.0,30.0,11.9,23.5,"$2,277"
Bhutan,20.0,25.0,30.0,13.4,30.7,"$8,744"
Bolivia,15.0,13.0,25.0,31.1,41.1,"$7,547"
Bosnia and Herzegovina,65.0,10.0,10.0,37.0,42.4,"$12,724"
Botswana,65.0,25.0,22.0,24.9,33.7,"$17,828"
Brazil,50.0,27.5,34.0,32.2,38.6,"$15,603"
Brunei Darussalam,65.0,0.0,18.5,24.2,36.6,"$78,196"
Bulgaria,70.0,10.0,10.0,28.0,34.7,"$21,687"
Burkina Faso,65.0,27.5,28.0,16.3,25.8,"$1,889"
Burma,30.0,20.0,30.0,6.5,22.1,"$6,244"
Burundi,50.0,35.0,35.0,12.3,23.6,$735
Cambodia,60.0,20.0,20.0,15.0,21.7,"$4,012"
Cameroon,30.0,35.0,33.0,15.6,20.4,"$3,660"
Canada,80.0,33.0,15.0,31.7,40.3,"$48,265"
Cabo Verde,80.0,35.0,24.0,23.7,31.0,"$6,944"
Central African Republic,45.0,50.0,30.0,9.0,13.9,$677
Chad,60.0,60.0,45.0,5.3,15.9,"$2,344"
Chile,85.0,35.0,25.0,20.4,25.2,"$24,537"
China,25.0,45.0,25.0,17.5,31.6,"$16,660"
Colombia,80.0,33.0,33.0,19.9,28.9,"$14,485"
Comoros,45.0,30.0,50.0,14.5,29.8,"$1,588"
"Congo, Democratic Republic of the Congo",30.0,30.0,40.0,10.8,14.2,$790
"Congo, Republic of",45.0,45.0,34.0,29.5,44.5,"$6,642"
Costa Rica,70.0,25.0,30.0,23.6,19.6,"$16,877"
Côte d'Ivoire,75.0,36.0,25.0,18.2,23.1,"$3,883"
Croatia,75.0,40.0,18.0,37.9,47.1,"$24,424"
Cuba,10.0,50.0,30.0,41.5,64.2,"$12,920"
Cyprus,75.0,35.0,12.5,33.6,38.7,"$37,023"
Czech Republic,80.0,15.0,19.0,34.0,40.0,"$35,512"
Denmark,90.0,56.0,23.5,45.9,53.4,"$49,883"
Djibouti,80.0,30.0,25.0,29.2,49.2,"$3,559"
Dominica,70.0,35.0,30.0,25.8,39.4,"$11,102"
Dominican Republic,70.0,25.0,27.0,13.6,17.9,"$16,944"
Ecuador,35.0,35.0,25.0,21.2,38.5,"$11,482"
Egypt,60.0,25.0,23.0,18.0,32.6,"$12,671"
El Salvador,75.0,30.0,30.0,19.7,21.4,"$8,948"
Equatorial Guinea,40.0,35.0,35.0,20.4,32.8,"$36,017"
Eritrea,0.0,30.0,30.0,8.0,29.5,"$1,581"
Estonia,90.0,20.0,20.0,34.7,40.4,"$31,750"
Eswatini,50.0,33.0,28.0,25.5,33.9,"$9,884"
Ethiopia,35.0,35.0,30.0,12.4,17.9,"$2,161"
Fiji,55.0,29.0,20.0,25.5,30.7,"$9,777"
Finland,85.0,31.3,20.0,44.1,55.6,"$44,333"
France,75.0,45.0,33.0,45.3,56.6,"$43,761"
Gabon,60.0,35.0,30.0,17.3,21.1,"$19,254"
Gambia,65.0,35.0,32.0,17.9,31.3,"$1,713"
Georgia,80.0,20.0,15.0,25.8,29.6,"$10,747"
Germany,80.0,47.5,15.8,37.6,43.9,"$50,425"
Ghana,70.0,35.0,25.0,16.5,24.5,"$4,729"
Greece,55.0,42.0,29.0,38.6,50.6,"$27,737"
Guatemala,70.0,31.0,31.0,12.6,12.1,"$8,145"
Guinea,50.0,40.0,35.0,15.3,18.4,"$2,041"
Guinea-Bissau,30.0,20.0,25.0,9.6,21.0,"$1,845"
Guyana,55.0,33.3,40.0,24.4,32.0,"$8,161"
Haiti,45.0,30.0,30.0,14.5,19.7,"$1,815"
Honduras,65.0,25.0,25.0,21.6,27.0,"$5,562"
Hong Kong,90.0,15.0,16.5,14.0,17.9,"$61,393"
Hungary,80.0,15.0,19.0,39.4,47.7,"$29,474"
Iceland,85.0,31.8,20.0,36.4,43.2,"$51,842"
India,40.0,30.9,32.4,7.2,27.5,"$7,183"
Indonesia,45.0,30.0,25.0,10.4,16.9,"$12,377"
Iran,5.0,35.0,25.0,8.0,18.5,"$20,200"
Ireland,90.0,41.0,12.5,23.0,27.4,"$75,538"
Israel,75.0,48.0,23.0,31.2,39.8,"$36,340"
Italy,85.0,43.0,27.5,42.9,49.5,"$38,140"
Jamaica,80.0,25.0,25.0,27.1,28.3,"$9,163"
Japan,70.0,40.8,23.9,30.7,38.7,"$42,832"
Jordan,70.0,14.0,20.0,16.3,29.8,"$12,494"
Kazakhstan,50.0,10.0,20.0,12.8,23.3,"$26,252"
Kenya,55.0,30.0,30.0,15.7,27.2,"$3,491"
Kiribati,25.0,35.0,35.0,15.7,117.9,"$1,976"
"Korea, South",70.0,46.2,27.5,26.3,32.4,"$39,434"
Kosovo,65.0,10.0,10.0,23.5,27.2,"$10,515"
Kuwait,55.0,0.0,15.0,1.6,52.5,"$66,163"
Kyrgyz Republic,60.0,10.0,10.0,19.7,39.1,"$3,667"
Laos,35.0,24.0,24.0,12.8,22.1,"$7,366"
Latvia,85.0,31.4,20.0,30.2,37.8,"$27,644"
Lebanon,60.0,20.0,15.0,13.8,28.5,"$19,439"
Lesotho,55.0,35.0,25.0,47.0,47.3,"$3,581"
Liberia,55.0,25.0,25.0,21.8,35.5,"$1,354"
Lithuania,80.0,15.0,15.0,30.2,34.1,"$32,299"
Luxembourg,95.0,42.0,18.0,37.1,42.2,"$106,374"
Macau,85.0,12.0,39.0,25.0,17.9,"$111,629"
Macedonia,65.0,10.0,10.0,24.8,31.6,"$14,914"
Madagascar,55.0,20.0,20.0,10.1,16.6,"$1,551"
Malawi,50.0,30.0,30.0,14.8,31.5,"$1,167"
Malaysia,60.0,25.0,25.0,13.8,23.7,"$29,041"
Maldives,35.0,0.0,0.0,20.5,36.1,"$19,151"
Mali,65.0,40.0,35.0,17.6,22.1,"$2,170"
Malta,85.0,35.0,35.0,33.6,38.3,"$41,945"
Mauritania,50.0,30.0,25.0,25.9,29.3,"$4,444"
Mauritius,80.0,15.0,15.0,18.4,25.6,"$21,640"
Mexico,75.0,35.0,30.0,17.2,26.9,"$19,903"
Micronesia,35.0,10.0,21.0,13.2,59.2,"$3,393"
Moldova,55.0,18.0,12.0,31.5,36.9,"$5,661"
Mongolia,50.0,10.0,25.0,20.7,35.1,"$12,979"
Montenegro,75.0,9.0,9.0,36.1,47.4,"$17,736"
Morocco,65.0,38.0,30.0,20.9,30.2,"$8,567"
Mozambique,35.0,32.0,32.0,20.2,33.2,"$1,244"
Namibia,65.0,37.0,34.0,28.6,41.3,"$11,312"
Nepal,10.0,25.0,25.0,18.7,23.3,"$2,679"
Netherlands,90.0,52.0,25.0,38.8,43.6,"$53,635"
New Zealand,80.0,33.0,28.0,32.1,40.7,"$38,934"
Nicaragua,60.0,30.0,30.0,22.6,26.4,"$5,849"
Niger,55.0,35.0,30.0,13.5,28.5,"$1,164"
Nigeria,45.0,24.0,30.0,5.2,10.8,"$5,929"
Norway,75.0,47.8,23.0,38.0,49.9,"$71,831"
Oman,65.0,0.0,12.0,8.5,47.4,"$45,157"
